SpeciesCode,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EAPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,6,2,4,3,NA,1,3,2,7
EASO,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,1,0,NA,0,1,0,NA,NA,NA,0,NA
EATO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,2,7,2,NA,1,0,NA,1
EAWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,7,2,4,0,NA,5,4,16,3
EUST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,3,6,2,12,1,NA,0,0,6,2
EVGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWPW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
EWWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,11,10,2,3,NA,0,2,NA,NA
FICR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
FISP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,25,36,56,30,2,NA,22,33,34,30
FOSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,3,9,2,7,6,NA,0,2,4,1
FOTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
GADW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
GBHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
GCFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,5,6,5,1,0,NA,4,4,4,4
GCKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,107,40,77,60,185,34,NA,23,38,56,31
GCTH,NA,NA,NA,NA,NA,7,9,NA,NA,28,6,8,2,4,4,6,4,NA,5,NA,NA,2,2,NA
GHOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0
GLGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
GOEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
GRCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,163,166,311,175,194,81,NA,97,93,160,91
GREG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA
GRHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
GRSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRYE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0
GWFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
GWTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,NA
GWWA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,0,2,0,0,NA,3,1,4,2
HERG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
HETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,18,30,34,27,9,NA,14,4,20,13
HOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,4,18,4,6,0,NA,8,4,6,1
HOGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0
HOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0
HOME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
HOSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,38,0,0,NA,NA,6,3,18,0
HOWA,NA,1,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,0,3,NA,2,NA,NA,0,NA,NA,NA
HOWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,29,28,33,37,41,7,NA,13,16,32,22
HYBG,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,4,0,0,NA,NA,1,NA,0,1
INBU,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,27,17,56,21,18,1,NA,13,13,36,15
KILL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,4,0,0,NA,0,0,0,0
KIRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
LAWA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
LBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,27,29,22,6,1,NA,3,7,10,9
LEOW,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
LESC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
LEYE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,NA,NA,0
LIGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LISP,NA,NA,NA,55,28,NA,NA,NA,NA,NA,NA,31,29,21,15,40,35,17,13,NA,7,5,8,17
LOSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOWA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
MAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,94,76,145,115,72,89,NA,37,13,76,33
MAWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA
MERL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
MODO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,21,36,82,54,61,9,NA,30,37,46,11
MOWA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,12,13,9,12,3,NA,3,1,6,7
MUSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,33,35,67,60,37,31,NA,24,19,20,31
NOCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,12,22,16,40,4,NA,8,7,12,8
NOFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,10,5,3,2,NA,3,0,2,4
NOGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA
