SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
RBME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
RBNU,1,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,0,2,1,2
RCKI,182,NA,NA,NA,NA,NA,NA,NA,21,44,34,NA,17,32,32,76
REDH,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA
REVI,8,NA,1,NA,NA,NA,NA,NA,2,10,2,NA,10,1,26,8
RHWO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
RLHA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA
RNDU,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA
RNGR,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA
ROGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
RTHA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
RTHU,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
RUBL,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA
RUDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
RUGR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
RUTU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
RWBL,13,NA,NA,NA,NA,NA,NA,NA,7,4,6,NA,17,25,16,80
SACR,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0
SAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
SAVS,7,NA,4,NA,NA,NA,NA,NA,3,0,1,NA,5,1,2,22
SBDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCTA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
SEOW,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
SEPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
SESA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
SEWR,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA
SNBU,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
SNGO,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0
SNOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SORA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
SOSA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,0
SOSP,33,NA,NA,NA,NA,NA,NA,NA,8,9,12,NA,13,26,27,70
SPSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
SSHA,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,3,1,2
STSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
SWSP,12,NA,NA,NA,NA,NA,NA,NA,5,9,8,NA,6,28,3,18
SWTH,44,NA,NA,40,NA,NA,NA,NA,63,156,30,NA,56,67,64,70
TEWA,181,NA,NA,NA,NA,NA,NA,NA,27,12,86,NA,4,22,59,50
TRES,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,21,6,4,2
TRFL,74,96,2,28,58,51,NA,55,28,50,60,34,25,13,36,126
TUSW,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
TUVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA
UNAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
UNBL,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0
UNBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNDD,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0
UNDU,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0
UNFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNGU,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0
UNME,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
UNRA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA
UNSG,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0
UNSP,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
UNSW,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNTE,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
UNVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
UNWA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA
UNYE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA
UPSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USCA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
VEER,5,NA,NA,NA,NA,NA,6,NA,5,8,2,NA,2,6,3,4
VESP,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA
VIRA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0
WAVI,16,NA,NA,NA,NA,NA,NA,NA,11,13,8,NA,10,6,12,24
WBNU,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0
WCSP,11,NA,NA,NA,NA,NA,NA,NA,8,7,4,NA,5,17,14,66
WEGR,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
WEKI,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
WEME,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
WEWP,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WHIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
WHIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
WIFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WILL,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
WIPH,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
WISN,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
WIWA,89,NA,36,NA,NA,NA,NA,65,38,55,51,NA,45,33,76,118
WIWR,3,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,2
WODU,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0
WOTH,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPWI,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WRSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WTSP,183,NA,NA,NA,NA,NA,NA,NA,174,207,21,NA,45,129,65,132
YBFL,9,8,1,NA,NA,6,3,NA,2,11,7,3,4,5,10,6
YBSA,3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,3,1,2
YEWA,496,NA,206,NA,NA,NA,NA,NA,209,348,295,NA,111,170,337,322
YHBL,14,NA,NA,NA,NA,NA,NA,NA,40,0,4,NA,0,1,0,0
YRWA,290,NA,NA,NA,NA,NA,NA,NA,317,159,21,NA,7,205,147,174
YTVI,0,NA,NA,NA,NA,NA,1,2,0,2,NA,NA,NA,NA,NA,NA
YWAR,496,NA,206,NA,NA,NA,NA,NA,209,348,295,NA,111,170,337,322
NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
