SpeciesCode,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OSPR,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,0
OVEN,NA,NA,NA,NA,NA,9,50,4,33,14,18,24,32,14,14,23
PAWA,NA,NA,NA,NA,NA,22,34,18,101,36,33,26,21,29,52,86
PBGR,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,NA
PEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEFA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
PESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
PHVI,NA,NA,NA,NA,NA,3,2,2,1,13,1,2,5,5,13,5
PISI,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA
PIWA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,0,1,1,1,4
PIWO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
PROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
PUFI,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0,1,1
PUMA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RBGR,NA,NA,NA,NA,NA,4,12,3,6,3,2,0,18,2,8,15
RBGU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RBME,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RBNU,NA,NA,NA,NA,NA,1,NA,2,0,0,1,NA,0,9,0,23
RBWO,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,0,0,NA
RCKI,NA,NA,NA,NA,NA,44,62,31,39,36,36,14,72,63,51,400
REDH,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
REVI,NA,NA,NA,NA,NA,18,12,9,10,28,13,4,29,16,33,59
RHWO,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
RLHA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNDU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RNGR,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
RODO,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
ROPI,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
RSHA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
RTHA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
RTHU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RTLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUBL,NA,NA,NA,NA,NA,2,0,4,1,0,0,0,4,11,2,17
RUDU,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
RUTU,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA
RWBL,NA,NA,NA,NA,NA,70,148,62,114,71,44,46,97,141,135,271
SACR,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0
SAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
SAVS,NA,NA,NA,NA,NA,2,2,1,2,1,3,1,1,0,5,4
SBDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
SCTA,NA,NA,NA,NA,NA,0,2,1,2,3,0,0,2,0,0,8
SEOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
SEPL,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1,NA
SESA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,7
SEWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
SNBU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
SNOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
SOSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
SOSP,NA,NA,NA,NA,NA,40,86,35,35,58,33,29,79,72,67,149
SPSA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,2
SSHA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,0,0,0
STSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
SUTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
SWSP,NA,NA,NA,NA,NA,29,34,17,47,30,21,13,42,31,9,78
SWTH,NA,NA,NA,NA,NA,90,208,30,166,50,81,85,132,31,91,81
TEWA,NA,NA,NA,NA,NA,3,4,1,9,19,23,14,13,9,23,69
THGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
TRES,NA,NA,NA,NA,NA,2,6,3,3,10,11,8,14,9,34,39
TRFL,NA,NA,NA,NA,NA,34,70,28,70,54,53,36,48,22,108,109
TRUS,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
TUSW,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA
TUVU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
UNAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNBL,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
UNBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
UNSW,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
UNWA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0
UNYE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USCA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
VEER,NA,NA,NA,NA,NA,10,20,6,34,14,11,12,28,8,10,17
VIRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAVI,NA,NA,NA,NA,NA,4,12,11,13,7,8,6,14,7,17,23
