SpeciesCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA
HOME,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
HOSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA
HOWA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOWR,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,0,NA,0,2,1
INBU,NA,NA,NA,1,NA,NA,NA,NA,3,6,5,2,1,3,2,0,2,1,2
KILL,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
LASP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
LEFL,NA,NA,NA,NA,NA,NA,NA,NA,12,16,11,13,14,20,20,9,7,12,6
LESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LESC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
LEYE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0
LISP,6,NA,NA,NA,NA,NA,NA,21,13,7,7,9,4,5,8,6,24,18,8
LTDU,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
MALL,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,21,0,0,0,0,0,0
MAWA,NA,NA,NA,NA,NA,NA,NA,NA,64,73,81,61,87,57,86,37,106,29,38
MAWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MERL,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0
MODO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
MOWA,NA,10,NA,11,NA,NA,NA,NA,7,17,8,9,7,4,2,4,9,8,6
MUSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAWA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,33,50,55,18,19,23,39,11,16
NOCA,NA,2,NA,NA,NA,NA,NA,1,0,2,1,0,NA,1,0,NA,0,0,NA
NOFL,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,4,2,1,1,5,7,2,8
NOGO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0
NOHA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
NOMO,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,0,0,0,NA,NA
NOPA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,3,0,0,0,0
NOPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
NOWA,NA,4,NA,3,2,NA,NA,7,1,2,13,5,2,5,5,3,4,3,2
NRWS,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
NSHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
NSHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NSWO,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
OCWA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,4,6,8,4,1,6,16,7,5
OROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
OSFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0
OSPR,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
OVEN,NA,NA,NA,NA,NA,NA,NA,NA,19,39,30,19,23,27,30,15,52,26,16
PABU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
PAWA,NA,NA,NA,NA,NA,NA,NA,NA,54,64,48,50,88,63,33,35,79,56,59
PBGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0
PEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEFA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
PEPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
PHVI,NA,NA,NA,2,NA,NA,NA,NA,4,6,1,0,0,3,1,1,0,0,0
PISI,NA,NA,NA,NA,NA,NA,NA,1,0,3,0,0,0,0,0,1,3,3,1
PIWA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,4,0,1,2,1,2,10,1
PIWO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0
PRAW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
PROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
PUFI,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,1,2,1,0,2,0,1
PUMA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
RBGR,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,0,3,2,9,1,7,3,1
RBGU,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RBME,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
RBNU,NA,NA,NA,NA,NA,NA,NA,NA,17,5,2,11,1,20,1,5,0,24,6
RBWO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,1,0,1
RCKI,NA,NA,NA,NA,NA,NA,NA,NA,65,153,57,124,52,122,224,54,223,116,109
